# Catalog for all galaxies that matched between 3DHST and FIGS within 1.2<z<1.8 for gs1. 
# figs_id redshift ra dec dn4000 dn4000_err d4000 d4000_err
1526 1.301 53.144771 -27.775558 1.4326 12.1021 0.7827 2.4446
1530 1.615 53.156795 -27.775682 2.7693 48.0518 1.6658 9.4150
1535 1.238 53.211559 -27.775682 -0.9545 14.7893 -0.0584 0.6251
1537 1.394 53.200195 -27.775881 1.1189 8.0680 0.8804 3.3929
1545 1.414 53.167671 -27.776031 nan nan nan nan
1548 1.244 53.170528 -27.776035 0.3385 4.8200 0.8541 11.4798
1551 1.592 53.182808 -27.776048 0.4223 0.7139 0.1108 0.3052
1553 1.321 53.200275 -27.776096 0.8621 5.0640 1.1358 5.4722
1554 1.414 53.153824 -27.776325 0.3578 0.0000 0.7912 1.7414
1555 1.316 53.168365 -27.776233 0.4641 0.0000 1.1062 0.0000
1557 1.265 53.142433 -27.776287 1.9576 23.8504 1.9066 12.0450
1565 1.673 53.136116 -27.776338 -10.8905 701.8114 0.4657 67.9390
1568 1.593 53.146122 -27.776394 0.8573 2.4634 0.5399 0.7684
1569 1.322 53.201610 -27.776390 2.6230 28.7568 0.8268 5.5054
1574 1.625 53.206333 -27.776434 0.4184 1.8085 0.1801 0.7541
1581 1.410 53.128780 -27.776577 2.9443 32.2360 1.3413 7.0506
1583 1.296 53.163410 -27.776684 inf nan inf nan
1584 1.355 53.114719 -27.776653 nan nan nan nan
1586 1.702 53.114372 -27.776647 0.7930 5.5825 0.9862 4.6118
1593 1.555 53.159393 -27.776865 0.9644 27.1624 -0.6112 12.6222
1598 1.536 53.163093 -27.776830 0.5957 9.0216 1.5331 7.9517
1605 1.565 53.179844 -27.776962 0.5700 2.0281 0.5600 1.4974
1606 1.292 53.181080 -27.776932 3.7304 41.7102 1.5348 16.7100
1609 1.390 53.157280 -27.777075 0.9870 4.6006 0.3404 3.1203
1612 1.257 53.186439 -27.777023 0.8738 15.5231 0.2901 6.3623
1618 1.715 53.187950 -27.777098 0.3748 2.5874 0.5340 2.1778
1621 1.526 53.182792 -27.777136 0.9879 3.5980 0.4693 1.9646
1630 1.397 53.176193 -27.777180 1.1042 0.1512 1.1595 0.1263
1632 1.583 53.168030 -27.777227 1.1133 4.8155 1.3023 2.9852
1640 1.564 53.158287 -27.777445 0.5907 4.0745 0.6914 3.6693
1645 1.556 53.148891 -27.777504 0.8623 8.3438 1.7380 10.2528
1647 1.296 53.197956 -27.777437 nan nan nan nan
1648 1.352 53.140056 -27.777469 nan nan nan nan
1653 1.497 53.165306 -27.777542 0.5542 2.6615 2.3898 6.1017
1664 1.528 53.120212 -27.777714 0.7151 2.2207 1.2365 2.6581
1676 1.317 53.139694 -27.777933 1.4020 8.4065 0.9032 5.4145
1679 1.303 53.151493 -27.778026 3.2986 97.7802 2.9216 72.7036
1683 1.279 53.146049 -27.778028 0.9126 12.1030 0.3901 12.9071
1686 1.535 53.148971 -27.778147 3.1858 33.2666 1.7156 8.6233
1688 1.726 53.148632 -27.778137 0.1188 15.2993 -0.5226 18.5948
1689 1.206 53.179889 -27.778110 0.2005 0.8763 0.5237 1.6835
1699 1.201 53.156853 -27.778278 -0.1394 10.4135 1.7433 25.1428
1702 1.284 53.146419 -27.778311 nan nan nan nan
1709 1.276 53.140911 -27.778341 1.0089 5.7279 0.7567 4.7856
1712 1.400 53.154506 -27.778341 2.1644 11.2640 2.9519 14.5970
1714 1.442 53.162773 -27.778402 0.3103 7.0668 -0.0264 4.0853
1716 1.280 53.157200 -27.778518 1.1517 1.4018 0.9477 0.8277
1717 1.222 53.157394 -27.778742 1.0104 0.4525 1.7669 0.6140
1720 1.438 53.144817 -27.778583 0.3994 6.0783 1.9233 17.3572
1749 1.446 53.144489 -27.779026 -0.0324 2.1069 -0.0152 1.5376
1751 1.382 53.148792 -27.778908 0.5891 8.4049 1.2547 7.7435
1753 1.656 53.181953 -27.778829 0.7433 2.0584 1.4200 5.3466
1756 1.321 53.196369 -27.778988 1.5168 13.9529 1.7200 13.2357
1759 1.362 53.210880 -27.779022 5.9748 107.4397 33.0861 1925.1046
