#   PearsID  Field  RA  DEC  zspec  zp_minchi2  zspz_minchi2  zg_minchi2  zp  zspz  zg  zp_zerr_low  zp_zerr_up  zspz_zerr_low  zspz_zerr_up  zg_zerr_low  zg_zerr_up  zp_min_chi2  zspz_min_chi2  zg_min_chi2  zp_bestalpha  zspz_bestalpha  zg_bestalpha  zp_model_idx  zspz_model_idx  zg_model_idx  zp_age  zp_tau  zp_av  zspz_age  zspz_tau  zspz_av  zg_age  zg_tau  zg_av  zp_template_ms  zp_ms  zp_sfr  zp_uv  zp_vj  zspz_template_ms  zspz_ms  zspz_sfr  zspz_uv  zspz_vj  zg_template_ms  zg_ms  zg_sfr  zg_uv  zg_vj
86697 GOODS-N 189.3124115 62.267779 -99.0000 0.65 -99.00 -99.00 0.75 -99.00 -99.00 0.52 0.92 -99.00 -99.00 -99.00 -99.00 0.58 -99.00 -99.00 5.110e+08 -9.900e+01 -9.900e+01 9414 -99 -99 9.060e+00 6.310e-01 0.55 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.5124 2.618e+08 0.000e+00 0.2294 1.3499 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
115544 GOODS-S 53.0581815 -27.723700 -99.0000 0.72 -99.00 -99.00 0.48 -99.00 -99.00 0.62 0.81 -99.00 -99.00 -99.00 -99.00 4.44 -99.00 -99.00 6.940e+11 -9.900e+01 -9.900e+01 22878 -99 -99 7.020e+00 6.310e+01 1.47 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.0001 1.072e+08 0.000e+00 -0.4014 1.2229 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
87792 GOODS-S 53.1833700 -27.776381 2.6880 2.51 -99.00 -99.00 2.52 -99.00 -99.00 2.48 2.54 -99.00 -99.00 -99.00 -99.00 4.15 -99.00 -99.00 6.210e+09 -9.900e+01 -9.900e+01 30529 -99 -99 7.510e+00 1.580e-02 2.21 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.7141 4.434e+09 0.000e+00 -0.2592 1.6735 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
101264 GOODS-N 189.3238742 62.295329 -99.0000 0.41 -99.00 -99.00 0.31 -99.00 -99.00 0.39 0.45 -99.00 -99.00 -99.00 -99.00 2.66 -99.00 -99.00 5.330e+08 -9.900e+01 -9.900e+01 1911 -99 -99 9.060e+00 3.980e-01 0.00 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.5699 3.036e+08 0.000e+00 0.2792 1.3213 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
119418 GOODS-S 53.1453437 -27.715350 -99.0000 0.51 -99.00 -99.00 0.43 -99.00 -99.00 0.40 0.55 -99.00 -99.00 -99.00 -99.00 0.88 -99.00 -99.00 5.800e+08 -9.900e+01 -9.900e+01 6830 -99 -99 9.010e+00 3.980e-01 0.37 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.5658 3.280e+08 0.000e+00 0.2688 1.3111 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
31434 GOODS-S 53.1710316 -27.884758 -99.0000 2.80 -99.00 -99.00 3.13 -99.00 -99.00 2.69 3.33 -99.00 -99.00 -99.00 -99.00 0.82 -99.00 -99.00 5.610e+08 -9.900e+01 -9.900e+01 636 -99 -99 7.440e+00 -9.900e+01 -91.16 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.7736 4.342e+08 0.000e+00 -0.6273 1.3619 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
108532 GOODS-N 189.2576060 62.307004 -99.0000 4.78 -99.00 -99.00 3.24 -99.00 -99.00 4.26 5.38 -99.00 -99.00 -99.00 -99.00 0.63 -99.00 -99.00 4.380e+09 -9.900e+01 -9.900e+01 1654 -99 -99 8.510e+00 1.580e-01 0.00 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.5920 2.594e+09 0.000e+00 -0.2279 1.0169 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
125493 GOODS-S 53.0344732 -27.703264 -99.0000 1.54 -99.00 -99.00 1.56 -99.00 -99.00 1.52 1.68 -99.00 -99.00 -99.00 -99.00 9.19 -99.00 -99.00 7.070e+10 -9.900e+01 -9.900e+01 7091 -99 -99 9.410e+00 1.000e+00 0.37 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.5057 3.577e+10 0.000e+00 0.4979 1.6551 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
41445 GOODS-N 189.1719172 62.187677 -99.0000 2.28 -99.00 -99.00 2.23 -99.00 -99.00 2.19 2.31 -99.00 -99.00 -99.00 -99.00 2.10 -99.00 -99.00 5.100e+09 -9.900e+01 -9.900e+01 3739 -99 -99 8.210e+00 3.980e-02 0.18 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.6953 3.548e+09 0.000e+00 -0.2040 1.0397 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
96453 GOODS-N 189.4085402 62.288058 -99.0000 1.01 -99.00 -99.00 nan -99.00 -99.00 1.01 1.01 -99.00 -99.00 -99.00 -99.00 35843.60 -99.00 -99.00 2.990e+11 -9.900e+01 -9.900e+01 435 -99 -99 9.060e+00 -9.900e+01 -91.16 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.5354 1.601e+11 0.000e+00 0.3401 0.9801 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
89573 GOODS-N 189.2496182 62.274447 -99.0000 0.95 -99.00 -99.00 1.01 -99.00 -99.00 0.95 0.95 -99.00 -99.00 -99.00 -99.00 60.78 -99.00 -99.00 2.320e+11 -9.900e+01 -9.900e+01 828 -99 -99 9.700e+00 -9.900e+01 -91.16 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.3808 8.850e+10 0.000e+00 1.7535 2.8320 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
110400 GOODS-S 53.0495028 -27.735026 -99.0000 0.70 -99.00 -99.00 0.70 -99.00 -99.00 0.68 0.74 -99.00 -99.00 -99.00 -99.00 7.64 -99.00 -99.00 1.790e+08 -9.900e+01 -9.900e+01 165 -99 -99 7.860e+00 -9.900e+01 -91.16 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.7377 1.324e+08 0.000e+00 -0.2758 0.7406 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
109151 GOODS-S 53.1409173 -27.736119 0.6670 0.66 -99.00 -99.00 0.66 -99.00 -99.00 0.66 0.66 -99.00 -99.00 -99.00 -99.00 23.53 -99.00 -99.00 1.030e+11 -9.900e+01 -9.900e+01 19399 -99 -99 9.650e+00 1.000e+00 1.29 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.4896 5.035e+10 0.000e+00 1.1272 2.1305 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
75538 GOODS-S 53.1331259 -27.800920 -99.0000 0.01 -99.00 -99.00 0.39 -99.00 -99.00 0.01 0.28 -99.00 -99.00 -99.00 -99.00 2.39 -99.00 -99.00 1.270e+05 -9.900e+01 -9.900e+01 3280 -99 -99 9.480e+00 6.310e+01 0.00 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.0261 3.319e+03 0.000e+00 -0.0024 1.3355 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
33945 GOODS-N 189.1862170 62.175553 -99.0000 0.09 -99.00 -99.00 0.08 -99.00 -99.00 0.09 0.09 -99.00 -99.00 -99.00 -99.00 54.94 -99.00 -99.00 2.010e+08 -9.900e+01 -9.900e+01 453 -99 -99 9.540e+00 -9.900e+01 -91.16 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.4501 9.051e+07 0.000e+00 0.5585 1.3096 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
26160 GOODS-S 53.1793153 -27.892036 -99.0000 0.66 -99.00 -99.00 0.66 -99.00 -99.00 0.63 0.68 -99.00 -99.00 -99.00 -99.00 2.94 -99.00 -99.00 2.590e+09 -9.900e+01 -9.900e+01 2038 -99 -99 9.230e+00 6.310e-01 0.00 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.5376 1.393e+09 0.000e+00 0.3325 1.4565 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
91872 GOODS-S 53.1144143 -27.770299 -99.0000 1.14 -99.00 -99.00 1.16 -99.00 -99.00 1.08 1.21 -99.00 -99.00 -99.00 -99.00 1.71 -99.00 -99.00 3.400e+09 -9.900e+01 -9.900e+01 2402 -99 -99 9.010e+00 2.510e+00 0.00 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.2104 7.156e+08 0.000e+00 -0.1655 1.1120 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000 -99.0000 -9.900e+01 -9.900e+01 -99.0000 -99.0000
