#PearsID, Field, RA, DEC, zspec, zp_minchi2, zspz_minchi2, zg_minchi2, zp, zspz, zg, zp_zerr_low, zp_zerr_up, zspz_zerr_low, zspz_zerr_up, zg_zerr_low, zg_zerr_up, zp_min_chi2, zspz_min_chi2, zg_min_chi2, zp_bestalpha, zspz_bestalpha, zg_bestalpha, zp_model_idx, zspz_model_idx, zg_model_idx, zp_age, zp_tau, zp_av, zspz_age, zspz_tau, zspz_av, zg_age, zg_tau, zg_av, zp_template_ms, zp_ms, zp_sfr, zp_uv, zp_vj, zspz_template_ms, zspz_ms, zspz_sfr, zspz_uv, zspz_vj, zg_template_ms, zg_ms, zg_sfr, zg_uv, zg_vj
12699, 'GOODS-S', 53.1784711, -27.921706, -99., 1.05, -99., -99., nan, -99., -99., 1.05, 1.05, -99., -99., -99., -99., 29331., -99., -99., 1.83e+11, -99., -99., 435, -99, -99, 9.06, -99., -91.16, -99., -99., -99., -99., -99., -99., 0.5354, 9.809e+10, 0., 0.3401, 0.9801, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
116350, 'GOODS-N', 189.3574969, 62.320585, -99., 1.41, -99., -99., 1.42, -99., -99., 1.39, 1.45, -99., -99., -99., -99., 12., -99., -99., 3.38e+11, -99., -99., 36741, -99, -99, 9.63, 1.58, 2.58, -99., -99., -99., -99., -99., -99., 0.4768, 1.611e+11, 0., 0.9807, 2.167, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
88580, 'GOODS-N', 189.1351622, 62.274397, 0.859, 0.83, -99., -99., 0.81, -99., -99., 0.81, 0.83, -99., -99., -99., -99., 24.42, -99., -99., 1.51e+11, -99., -99., 26905, -99, -99, 9.72, 1.58, 1.84, -99., -99., -99., -99., -99., -99., 0.4738, 7.173e+10, 0., 1.0374, 2.1506, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
75819, 'GOODS-S', 53.1668831, -27.798678, 1.997, 2.07, -99., -99., 2.07, -99., -99., 1.99, 2.14, -99., -99., -99., -99., 39.49, -99., -99., 5.04e+11, -99., -99., 24682, -99, -99, 9.48, 3.98, 1.66, -99., -99., -99., -99., -99., -99., 0.2945, 1.484e+11, 0., 0.4712, 1.7244, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
115859, 'GOODS-S', 53.1459156, -27.722575, 1.417, 1.36, -99., -99., 1.35, -99., -99., 1.33, 1.38, -99., -99., -99., -99., 12.14, -99., -99., 8.27e+10, -99., -99., 19641, -99, -99, 9.54, 2.51, 1.29, -99., -99., -99., -99., -99., -99., 0.4049, 3.35e+10, 0., 0.5333, 1.7701, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
45451, 'GOODS-N', 189.1595647, 62.197454, 0.841, 0.95, -99., -99., 0.92, -99., -99., 0.89, 0.95, -99., -99., -99., -99., 63.45, -99., -99., 1.73e+11, -99., -99., 36743, -99, -99, 9.68, 1.58, 2.58, -99., -99., -99., -99., -99., -99., 0.4763, 8.241e+10, 0., 1.0589, 2.22, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
101757, 'GOODS-S', 53.151289, -27.749869, -99., 0.78, -99., -99., nan, -99., -99., 0.78, 0.78, -99., -99., -99., -99., 67694.49, -99., -99., 5.73e+11, -99., -99., 466, -99, -99, 9.83, -99., -91.16, -99., -99., -99., -99., -99., -99., 0.4087, 2.343e+11, 0., 0.6164, 1.3454, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
115736, 'GOODS-S', 53.0794189, -27.720815, 2.152, 2.42, -99., -99., 2.24, -99., -99., 1.91, 2.52, -99., -99., -99., -99., 12.56, -99., -99., 1.43e+11, -99., -99., 14471, -99, -99, 9.41, 1., 0.92, -99., -99., -99., -99., -99., -99., 0.5057, 7.207e+10, 0., 0.6111, 1.7518, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
90536, 'GOODS-N', 189.2420607, 62.27751, 1.017, 1.03, -99., -99., 1.03, -99., -99., 1.03, 1.03, -99., -99., -99., -99., 39.46, -99., -99., 2.11e+11, -99., -99., 11768, -99, -99, 9.51, 0.398, 0.74, -99., -99., -99., -99., -99., -99., 0.5065, 1.069e+11, 0., 1.2433, 2.0956, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
88392, 'GOODS-N', 189.1950616, 62.276825, -99., 1.06, -99., -99., nan, -99., -99., 1.06, 1.06, -99., -99., -99., -99., 1150236.54, -99., -99., 2.02e+12, -99., -99., 67, -99, -99, 9.11, -99., -91.16, -99., -99., -99., -99., -99., -99., 0.5126, 1.033e+12, 0., 0.2552, 1.047, -99., -99., -99., -99., -99., -99., -99., -99., -99., -99.
