# The PEARS id is given here as only an integer.
# The user must figure out if it is part of northern or southern fields.
# pearsid field urcol mstar threedid threedzphot
59531 GOODS-N 0.93 8.51 15816 0.74
59398 GOODS-N 1.91 10.42 15902 1.18
60003 GOODS-N 1.02 8.40 15926 0.68
58856 GOODS-N 1.00 9.36 15940 0.58
59375 GOODS-N 1.31 10.02 16041 1.01
60666 GOODS-N 0.87 8.27 16170 0.66
59863 GOODS-N 1.08 9.47 16214 0.80
60675 GOODS-N 1.15 9.02 16257 0.82
61065 GOODS-N 0.89 9.15 16331 0.87
61418 GOODS-N 0.76 8.93 16337 1.17
61113 GOODS-N 0.72 9.00 16375 1.22
60858 GOODS-N 1.96 10.29 16454 1.00
62741 GOODS-N 0.70 7.67 16691 0.60
61746 GOODS-N 1.19 9.69 16752 0.95
61291 GOODS-N 2.37 10.83 16758 0.99
62388 GOODS-N 1.08 9.37 16871 0.94
62562 GOODS-N 0.88 8.67 16893 0.71
63084 GOODS-N 0.88 8.40 16937 0.80
62543 GOODS-N 0.84 8.86 16960 0.97
63169 GOODS-N 1.26 9.12 16965 0.93
63410 GOODS-N 0.87 8.34 16994 0.70
62376 GOODS-N 1.10 9.48 17065 0.93
62107 GOODS-N 2.19 10.77 17194 1.00
64178 GOODS-N 0.87 8.78 17207 1.04
64358 GOODS-N 0.77 9.00 17408 1.28
63526 GOODS-N 1.90 10.08 17436 0.87
64394 GOODS-N 0.87 8.89 17502 0.99
64590 GOODS-N 0.85 8.44 17551 1.31
63419 GOODS-N 1.16 9.78 17553 1.00
64211 GOODS-N 1.05 9.88 17579 1.30
65347 GOODS-N 0.89 8.14 17608 0.74
65170 GOODS-N 0.84 8.55 17670 0.98
65589 GOODS-N 0.89 8.12 17773 0.82
64523 GOODS-N 1.19 9.96 17898 1.21
66217 GOODS-N 0.99 8.75 18022 1.05
66045 GOODS-N 0.60 8.62 18036 1.06
64178 GOODS-N 0.87 8.78 17207 1.04
64358 GOODS-N 0.77 9.00 17408 1.28
63526 GOODS-N 1.90 10.08 17436 0.87
64394 GOODS-N 0.87 8.89 17502 0.99
64590 GOODS-N 0.85 8.44 17551 1.31
63419 GOODS-N 1.16 9.78 17553 1.00
64211 GOODS-N 1.05 9.88 17579 1.30
65347 GOODS-N 0.89 8.14 17608 0.74
65170 GOODS-N 0.84 8.55 17670 0.98
65589 GOODS-N 0.89 8.12 17773 0.82
64523 GOODS-N 1.19 9.96 17898 1.21
66217 GOODS-N 0.99 8.75 18022 1.05
66045 GOODS-N 0.60 8.62 18036 1.06
64469 GOODS-N 2.27 10.59 18132 0.57
65404 GOODS-N 1.73 10.80 18224 1.01
66218 GOODS-N 1.00 9.41 18251 1.21
67081 GOODS-N 0.57 7.74 18259 0.80
65831 GOODS-N 1.39 9.40 18363 0.91
66873 GOODS-N 1.66 9.48 18442 0.92
67460 GOODS-N 0.85 8.74 18452 1.21
66997 GOODS-N 0.89 9.33 18564 1.26
67551 GOODS-N 0.92 8.47 18585 0.93
68134 GOODS-N 1.17 8.06 18677 0.71
67343 GOODS-N 1.08 9.26 18736 1.14
68057 GOODS-N 0.93 8.78 18805 1.15
68430 GOODS-N 1.05 8.53 18868 0.92
68518 GOODS-N 0.88 7.86 18887 0.61
66753 GOODS-N 1.60 10.23 18898 0.72
68819 GOODS-N 0.52 7.43 18911 0.56
68941 GOODS-N 1.11 8.30 18987 0.88
68706 GOODS-N 1.86 9.55 18988 1.08
68720 GOODS-N 1.50 9.62 19011 1.24
69195 GOODS-N 0.79 8.45 19094 1.04
69397 GOODS-N 1.05 8.43 19303 0.58
68696 GOODS-N 1.01 9.24 19316 0.99
69509 GOODS-N 1.07 9.14 19373 0.96
69819 GOODS-N 0.81 8.41 19374 0.86
68612 GOODS-N 1.93 9.34 19434 0.57
69419 GOODS-N 1.02 8.76 19453 0.82
70082 GOODS-N 1.32 8.33 19467 0.66
69106 GOODS-N 0.90 9.00 19468 0.92
69850 GOODS-N 1.07 9.43 19708 0.88
70727 GOODS-N 1.08 8.00 19749 0.57
70677 GOODS-N 1.24 9.12 19860 0.98
70974 GOODS-N 2.20 9.89 19955 0.96
70874 GOODS-N 2.14 9.99 20006 0.87
71675 GOODS-N 1.07 8.79 20047 0.94
71974 GOODS-N 0.93 8.43 20120 0.62
72081 GOODS-N 0.63 8.49 20252 0.91
72412 GOODS-N 0.78 7.56 20273 0.58
71252 GOODS-N 1.00 9.15 20312 0.94
71891 GOODS-N 2.10 9.23 20388 0.90
72168 GOODS-N 0.87 8.93 20426 1.23
72261 GOODS-N 1.07 8.95 20427 0.91
72809 GOODS-N 0.78 7.79 20555 0.63
73331 GOODS-N 1.17 8.66 20665 0.93
72986 GOODS-N 0.85 9.21 20755 0.93
73393 GOODS-N 0.66 7.70 20778 0.58
73160 GOODS-N 1.50 8.70 20784 0.62
73362 GOODS-N 0.67 9.15 20823 1.10
73626 GOODS-N 0.82 8.42 20836 0.76
74125 GOODS-N 0.79 8.62 20971 1.06
73635 GOODS-N 1.17 8.13 20974 0.65
72684 GOODS-N 1.05 9.81 21022 1.20
72800 GOODS-N 2.25 10.41 21047 0.65
75001 GOODS-N 1.05 8.28 21244 0.56
75179 GOODS-N 0.94 8.57 21401 0.99
74943 GOODS-N 0.96 8.81 21471 1.01
75429 GOODS-N 0.65 8.43 21487 1.04
74794 GOODS-N 1.08 8.88 21546 0.64
76123 GOODS-N 0.94 8.30 21611 0.79
75367 GOODS-N 1.26 9.39 21670 0.90
74641 GOODS-N 2.11 10.30 21717 0.85
75917 GOODS-N 0.88 7.63 21720 1.00
75659 GOODS-N 1.20 9.52 21732 0.92
75556 GOODS-N 1.25 9.28 21743 0.88
76206 GOODS-N 1.00 8.20 21823 0.58
76359 GOODS-N 0.90 8.27 21864 0.82
76107 GOODS-N 1.05 8.88 21921 0.84
77076 GOODS-N 0.79 7.92 22013 0.73
77037 GOODS-N 1.88 8.90 22040 0.84
77232 GOODS-N 1.17 8.42 22177 0.90
77570 GOODS-N 0.17 7.96 22194 1.10
76098 GOODS-N 2.34 10.85 22213 0.86
76778 GOODS-N 1.92 9.96 22324 0.84
76889 GOODS-N 2.80 10.29 22363 0.94
76917 GOODS-N 1.21 9.69 22406 0.93
76936 GOODS-N 1.32 9.04 22409 0.69
78104 GOODS-N 1.75 8.14 22444 0.60
77819 GOODS-N 1.75 8.97 22466 0.84
78220 GOODS-N 0.17 7.91 22503 0.94
76773 GOODS-N 1.01 9.28 22513 1.00
78263 GOODS-N 0.93 8.23 22546 0.90
78349 GOODS-N 1.31 8.24 22563 0.65
77596 GOODS-N 0.87 8.80 22652 0.71
78180 GOODS-N 0.66 8.11 22686 0.78
78906 GOODS-N 0.67 7.59 22747 0.64
78345 GOODS-N 0.92 8.85 22873 0.90
80090 GOODS-N 1.01 8.00 23218 0.61
80098 GOODS-N 0.87 8.38 23268 0.80
79986 GOODS-N 1.67 8.97 23301 0.83
79195 GOODS-N 1.81 10.05 23302 0.94
79903 GOODS-N 0.78 9.29 23423 0.68
80411 GOODS-N 2.25 10.53 23631 0.84
80645 GOODS-N 1.13 9.16 23831 0.64
82035 GOODS-N 0.79 7.93 23899 0.61
81988 GOODS-N 1.09 8.52 23911 0.66
79928 GOODS-N 1.24 9.63 23950 0.88
81946 GOODS-N 1.14 8.79 23961 0.86
81024 GOODS-N 2.21 9.88 23992 0.82
82400 GOODS-N 0.99 8.55 24018 0.67
82391 GOODS-N 0.83 8.44 24035 0.86
82009 GOODS-N 1.08 8.57 24090 0.60
79185 GOODS-N 2.44 11.29 24107 0.85
82693 GOODS-N 0.83 8.84 24124 0.85
82480 GOODS-N 0.99 9.35 24189 1.27
82523 GOODS-N 0.64 8.94 24190 0.96
82368 GOODS-N 2.01 10.67 24234 1.23
82141 GOODS-N 1.51 10.23 24278 0.95
82799 GOODS-N 0.88 9.01 24367 0.95
82382 GOODS-N 0.88 7.89 24428 0.59
82267 GOODS-N 1.73 10.12 24444 0.92
83434 GOODS-N 1.75 8.86 24539 0.87
84233 GOODS-N 0.69 8.12 24613 0.93
84028 GOODS-N 1.36 9.15 24645 0.83
84321 GOODS-N 1.84 8.79 24674 0.64
