# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
#pearsid field ra dec old_z new_z dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
44078 GOODS-N 53.135260 -27.799560 0.9800 1.0140 1.3980 0.1544 1.7274 0.1336 704.7416 531.7827
44627 GOODS-S 53.135260 -27.799560 1.0000 0.9106 1.0762 1.3639 1.2100 1.2309 234.1194 213.3661
44738 GOODS-S 53.135260 -27.799560 0.6800 0.6689 1.5654 1.4629 2.0825 1.5458 252.3303 246.9301
44756 GOODS-N 53.135260 -27.799560 0.9900 1.0057 1.6229 0.3962 2.0043 0.3524 521.8649 406.1577
44843 GOODS-S 53.135260 -27.799560 0.9500 1.3918 1.2701 0.7278 1.3115 0.5749 1209.0764 366.9949
45022 GOODS-S 53.135260 -27.799560 0.8000 0.9610 3.9215 11.4473 1.7515 2.5982 229.9915 217.0608
45026 GOODS-N 53.135260 -27.799560 0.9700 0.9956 1.3127 0.1979 1.6574 0.1734 432.9834 416.0476
45223 GOODS-S 53.135260 -27.799560 0.6800 1.2878 2.1350 1.4555 0.4854 0.7783 2128.1630 1849.6224
45314 GOODS-S 53.135260 -27.799560 0.6800 0.7004 1.0447 0.2747 1.2933 0.2290 530.9321 526.9250
45451 GOODS-N 53.135260 -27.799560 0.8300 0.8321 1.2575 0.1776 1.5786 0.1608 327.9626 326.8215
45462 GOODS-S 53.135260 -27.799560 0.8500 0.7675 1.0125 0.1926 1.1326 0.1552 1192.1520 1007.8756
45496 GOODS-N 53.135260 -27.799560 0.9900 0.9509 1.2286 0.2093 1.4427 0.1744 291.4335 237.2648
45958 GOODS-N 53.135260 -27.799560 0.9800 1.0281 1.3443 0.4150 1.5796 0.3484 513.0910 449.4316
46085 GOODS-N 53.135260 -27.799560 0.6800 1.2468 0.9496 1.2895 1.2454 1.2013 209.6770 142.5410
46546 GOODS-N 53.135260 -27.799560 1.2400 1.1399 1.2354 0.1966 1.1581 0.1358 2276.0024 992.7592
46562 GOODS-S 53.135260 -27.799560 0.6600 0.4998 inf inf inf inf 950.8442 417.7525
46694 GOODS-N 53.135260 -27.799560 0.9600 0.8489 1.3380 0.8136 1.2663 0.5641 407.5753 316.0100
46766 GOODS-N 53.135260 -27.799560 1.0200 1.0065 1.4162 0.2840 1.7194 0.2508 320.2073 310.7862
46914 GOODS-N 53.135260 -27.799560 0.9200 0.8701 1.2164 0.3693 1.2079 0.2523 435.0823 361.2379
47029 GOODS-S 53.135260 -27.799560 0.7900 0.5609 1.8459 1.0993 2.4249 1.1863 706.1895 395.6538
47225 GOODS-S 53.135260 -27.799560 1.2600 1.2155 1.5986 0.3351 1.5698 0.2360 462.3731 404.3038
47324 GOODS-S 53.135260 -27.799560 0.9500 0.9587 1.2480 0.2279 1.1560 0.1549 881.2821 878.9641
47447 GOODS-S 53.135260 -27.799560 0.5800 0.5800 1.2844 0.1935 1.9938 0.2315 267.3068 267.3068
47511 GOODS-N 53.135260 -27.799560 0.9400 0.9271 1.7620 1.8198 1.6902 1.4795 243.3409 242.0909
47644 GOODS-N 53.135260 -27.799560 0.8700 0.9039 1.3378 1.2975 1.5528 1.1922 388.5007 375.0974
48126 GOODS-S 53.135260 -27.799560 0.7400 0.7171 1.4839 1.5924 1.1459 0.8268 357.2614 353.4062
48189 GOODS-N 53.135260 -27.799560 0.9900 1.0191 1.3339 0.1526 1.5694 0.1272 736.0335 587.9696
48216 GOODS-N 53.135260 -27.799560 0.9800 0.7676 1.1148 0.2598 1.2607 0.2010 907.4678 359.3533
48650 GOODS-N 53.135260 -27.799560 0.9300 0.9358 1.2356 0.1498 1.3728 0.1208 588.3479 586.1739
48954 GOODS-N 53.135260 -27.799560 0.8600 0.3605 nan nan nan nan 331.5637 305.8788
49012 GOODS-S 53.135260 -27.799560 0.5800 0.5591 1.1087 0.2746 2.3713 0.5066 349.5466 337.4053
49165 GOODS-S 53.135260 -27.799560 1.0300 0.9270 0.9651 0.4674 1.2467 0.4417 393.8679 247.3448
49434 GOODS-S 53.135260 -27.799560 0.7500 0.6825 1.2159 1.4148 1.2024 1.0799 216.0742 195.2406
49779 GOODS-N 53.135260 -27.799560 0.9700 0.9314 1.2729 0.3361 1.5899 0.2853 456.0402 377.2386
50261 GOODS-S 53.135260 -27.799560 0.9200 0.8700 1.2935 0.4499 1.1725 0.3086 506.3561 485.8478
50265 GOODS-N 53.135260 -27.799560 0.6900 0.5086 inf inf inf inf 352.7502 331.7008
50422 GOODS-N 53.135260 -27.799560 0.7500 0.7270 1.4230 0.2282 1.2644 0.1417 644.7370 548.4027
50439 GOODS-N 53.135260 -27.799560 1.0700 1.0562 1.2433 0.2089 1.6171 0.2055 414.5960 384.8762
50670 GOODS-N 53.135260 -27.799560 0.5600 0.5600 1.1341 0.2320 2.4260 0.4349 348.0503 348.0503
51356 GOODS-S 53.135260 -27.799560 0.6300 0.5376 2.0794 0.3886 4.4080 0.7569 1074.7513 376.7359
51522 GOODS-S 53.135260 -27.799560 1.1200 1.0515 1.0067 0.5192 1.0375 0.4176 329.9664 300.5536
52204 GOODS-S 53.135260 -27.799560 0.6200 0.4462 nan nan inf inf 412.6888 285.4542
52259 GOODS-S 53.135260 -27.799560 0.7300 0.6960 1.3199 0.2000 1.1771 0.1219 1527.6941 1480.1810
52481 GOODS-S 53.135260 -27.799560 0.8400 0.8495 1.2648 0.2570 1.5020 0.2298 257.1949 208.6946
52497 GOODS-N 53.135260 -27.799560 0.8300 0.8060 1.1342 0.6256 1.4733 0.5728 259.6105 253.5463
52529 GOODS-S 53.135260 -27.799560 0.7600 0.7254 1.3086 0.8125 1.0547 0.4913 226.6426 212.8150
52591 GOODS-N 53.135260 -27.799560 0.8400 0.8622 0.6344 0.7001 0.7598 0.6788 377.8709 372.2210
52593 GOODS-S 53.135260 -27.799560 0.5800 0.5800 1.4980 0.2347 2.3542 0.2894 180.8783 180.8783
52774 GOODS-S 53.135260 -27.799560 0.6100 0.4998 inf inf inf inf 904.2292 328.3470
52896 GOODS-N 53.135260 -27.799560 0.9400 0.9537 1.0985 0.2088 1.1696 0.1688 735.4110 692.3089
52945 GOODS-S 53.135260 -27.799560 0.6300 0.5773 1.2430 0.4291 1.6803 0.4418 280.0464 219.4145
52948 GOODS-N 53.135260 -27.799560 0.6600 0.5561 1.3719 1.0110 3.4960 2.2810 269.6427 250.9869
53248 GOODS-S 53.135260 -27.799560 0.7800 0.7806 1.3362 0.1436 1.1600 0.0866 3063.9829 3053.0520
53462 GOODS-S 53.135260 -27.799560 0.5800 0.5592 1.1301 0.2002 2.3404 0.3652 362.2087 276.4546
53471 GOODS-N 53.135260 -27.799560 0.8300 0.8320 1.4386 0.1548 1.8992 0.1460 403.9544 300.9893
53563 GOODS-N 53.135260 -27.799560 0.8700 0.8912 1.3554 0.1739 1.6422 0.1552 800.6626 724.9894
53632 GOODS-S 53.135260 -27.799560 0.8700 1.3514 3.1062 10.7159 1.6220 4.4796 162.8112 154.2802
53708 GOODS-N 53.135260 -27.799560 0.6900 0.6788 1.3744 0.1889 1.8037 0.1690 338.4360 326.5857
53811 GOODS-S 53.135260 -27.799560 0.8800 1.1253 1.3202 1.5530 0.7477 0.8153 435.2417 386.3110
53868 GOODS-S 53.135260 -27.799560 0.5800 0.5389 2.2915 0.7945 4.8039 1.5503 191.4645 154.9924
54056 GOODS-S 53.135260 -27.799560 0.6600 0.6382 1.3966 0.7982 1.3366 0.5286 303.0215 293.8314
54405 GOODS-N 53.135260 -27.799560 0.8200 0.7611 1.1703 0.1153 1.5189 0.1083 1219.1230 559.9156
54553 GOODS-S 53.135260 -27.799560 0.7800 0.6582 1.4311 0.2272 1.3195 0.1458 1055.9481 254.9540
54742 GOODS-S 53.135260 -27.799560 0.9200 0.8111 0.8615 0.8006 0.8741 0.6615 347.2759 277.6354
55063 GOODS-N 53.135260 -27.799560 1.0700 1.0724 1.0623 1.0200 1.2918 1.0819 333.7467 324.0934
55392 GOODS-N 53.135260 -27.799560 1.1600 1.1458 1.2278 0.2971 1.2805 0.2377 679.8615 672.3503
55434 GOODS-S 53.135260 -27.799560 1.1200 1.1240 1.1409 0.2144 1.2923 0.1853 451.6957 445.3979
55513 GOODS-N 53.135260 -27.799560 0.6600 0.6773 1.1809 0.5076 1.6238 0.5073 174.8958 160.0932
