#   PearsID  Field  RA  DEC  zspec  zp_minchi2  zspz_minchi2  zg_minchi2  zp  zspz  zg  zp_zerr_low  zp_zerr_up  zspz_zerr_low  zspz_zerr_up  zg_zerr_low  zg_zerr_up  zp_min_chi2  zspz_min_chi2  zg_min_chi2  zp_bestalpha  zspz_bestalpha  zg_bestalpha  zp_model_idx  zspz_model_idx  zg_model_idx  zp_age  zp_tau  zp_av  zspz_age  zspz_tau  zspz_av  zg_age  zg_tau  zg_av  zp_template_ms  zp_ms  zp_uv  zp_vj
49766 GOODS-S 53.1750200 -27.847723 -99.0000 0.43 -99.00 -99.00 0.65 -99.00 -99.00 0.41 0.48 -99.00 -99.00 -99.00 -99.00 1.54 -99.00 -99.00 3.220e+08 -9.900e+01 -9.900e+01 8286 -99 -99 8.010e+00 1.000e-02 0.55 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.8276 2.668e+08 -0.4376 1.0370
70471 GOODS-N 189.1482770 62.240003 2.0150 2.17 -99.00 -99.00 2.16 -99.00 -99.00 2.16 2.17 -99.00 -99.00 -99.00 -99.00 44.90 -99.00 -99.00 3.860e+11 -9.900e+01 -9.900e+01 1914 -99 -99 9.210e+00 3.980e-01 0.00 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.7125 2.750e+11 -0.4496 1.5678
94085 GOODS-N 189.2999220 62.283150 1.1420 1.00 -99.00 -99.00 0.97 -99.00 -99.00 0.93 1.01 -99.00 -99.00 -99.00 -99.00 161.03 -99.00 -99.00 2.370e+11 -9.900e+01 -9.900e+01 15222 -99 -99 9.760e+00 1.580e+01 0.92 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.2093 4.962e+10 -0.5116 1.7096
80214 GOODS-S 53.1450770 -27.789438 1.3160 1.26 -99.00 -99.00 1.26 -99.00 -99.00 1.24 1.28 -99.00 -99.00 -99.00 -99.00 9.62 -99.00 -99.00 6.500e+11 -9.900e+01 -9.900e+01 10651 -99 -99 9.280e+00 6.310e+01 0.55 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.0220 1.428e+10 -0.5000 1.3633
126432 GOODS-N 189.3442280 62.346294 0.8700 0.81 -99.00 -99.00 0.85 -99.00 -99.00 0.78 0.83 -99.00 -99.00 -99.00 -99.00 2.75 -99.00 -99.00 8.220e+09 -9.900e+01 -9.900e+01 4620 -99 -99 9.210e+00 1.000e+00 0.18 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.5908 4.858e+09 -0.4917 1.3908
132474 GOODS-S 53.0865010 -27.687486 0.6830 0.62 -99.00 -99.00 0.65 -99.00 -99.00 0.61 0.67 -99.00 -99.00 -99.00 -99.00 3.28 -99.00 -99.00 9.380e+09 -9.900e+01 -9.900e+01 7211 -99 -99 9.360e+00 1.580e+00 0.37 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.5534 5.193e+09 -0.5072 1.5113
55626 GOODS-N 189.1320740 62.213682 -99.0000 0.93 -99.00 -99.00 0.84 -99.00 -99.00 0.90 0.95 -99.00 -99.00 -99.00 -99.00 1.99 -99.00 -99.00 3.080e+09 -9.900e+01 -9.900e+01 30550 -99 -99 8.060e+00 1.580e-02 2.21 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.8250 2.537e+09 -0.4369 1.2897
83506 GOODS-N 189.3260120 62.262843 -99.0000 5.33 -99.00 -99.00 4.55 -99.00 -99.00 5.08 5.37 -99.00 -99.00 -99.00 -99.00 1.96 -99.00 -99.00 7.720e+11 -9.900e+01 -9.900e+01 4120 -99 -99 8.810e+00 1.580e-01 0.18 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.7528 5.816e+11 -0.2952 1.2144
48663 GOODS-N 189.2715620 62.202965 0.3870 0.41 -99.00 -99.00 0.45 -99.00 -99.00 0.40 0.43 -99.00 -99.00 -99.00 -99.00 3.90 -99.00 -99.00 2.190e+09 -9.900e+01 -9.900e+01 2036 -99 -99 9.160e+00 6.310e-01 0.00 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.6634 1.452e+09 -0.4778 1.3890
93297 GOODS-S 53.1879160 -27.761554 0.1270 0.08 -99.00 -99.00 0.08 -99.00 -99.00 0.08 0.09 -99.00 -99.00 -99.00 -99.00 34.01 -99.00 -99.00 1.020e+09 -9.900e+01 -9.900e+01 14465 -99 -99 9.300e+00 1.000e+00 0.92 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.6273 6.418e+08 -0.4692 1.6247
56691 GOODS-S 53.1617510 -27.832293 0.2410 0.36 -99.00 -99.00 nan -99.00 -99.00 0.36 5.41 -99.00 -99.00 -99.00 -99.00 4083.81 -99.00 -99.00 1.450e+11 -9.900e+01 -9.900e+01 830 -99 -99 9.740e+00 -9.900e+01 -91.16 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.5897 8.532e+10 -0.3298 2.6735
37672 GOODS-N 189.2266840 62.181806 -99.0000 0.74 -99.00 -99.00 0.73 -99.00 -99.00 0.64 0.78 -99.00 -99.00 -99.00 -99.00 1.80 -99.00 -99.00 1.010e+09 -9.900e+01 -9.900e+01 18125 -99 -99 7.960e+00 1.000e-02 1.29 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.8333 8.431e+08 -0.4589 1.1643
133150 GOODS-S 53.0881380 -27.685179 1.1170 1.19 -99.00 -99.00 1.12 -99.00 -99.00 1.04 1.20 -99.00 -99.00 -99.00 -99.00 15.87 -99.00 -99.00 6.740e+11 -9.900e+01 -9.900e+01 31697 -99 -99 9.600e+00 1.000e+00 2.21 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.6687 4.504e+11 -0.4461 2.2331
33414 GOODS-N 189.1540650 62.175396 -99.0000 0.85 -99.00 -99.00 0.93 -99.00 -99.00 0.82 0.93 -99.00 -99.00 -99.00 -99.00 3.29 -99.00 -99.00 3.240e+10 -9.900e+01 -9.900e+01 2307 -99 -99 9.760e+00 1.580e+00 0.00 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.6500 2.108e+10 -0.5187 1.9158
74987 GOODS-N 189.2407800 62.248600 0.8490 5.79 -99.00 -99.00 5.79 -99.00 -99.00 5.78 5.80 -99.00 -99.00 -99.00 -99.00 41.22 -99.00 -99.00 1.370e+13 -9.900e+01 -9.900e+01 1537 -99 -99 8.810e+00 1.000e-01 0.00 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.7595 1.041e+13 -0.2299 1.2370
21592 GOODS-S 53.1459240 -27.901462 0.6700 0.72 -99.00 -99.00 0.71 -99.00 -99.00 0.71 0.72 -99.00 -99.00 -99.00 -99.00 4.54 -99.00 -99.00 1.100e+11 -9.900e+01 -9.900e+01 28855 -99 -99 9.280e+00 2.510e-01 2.03 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.7084 7.811e+10 -0.4279 2.0747
94867 GOODS-N 189.1829580 62.284898 -99.0000 0.38 -99.00 -99.00 0.55 -99.00 -99.00 0.38 0.58 -99.00 -99.00 -99.00 -99.00 345.56 -99.00 -99.00 3.240e+10 -9.900e+01 -9.900e+01 829 -99 -99 9.720e+00 -9.900e+01 -91.16 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.5921 1.917e+10 -0.2893 2.7418
34821 GOODS-S 53.1652090 -27.873947 1.0960 1.03 -99.00 -99.00 1.04 -99.00 -99.00 1.03 1.04 -99.00 -99.00 -99.00 -99.00 23.36 -99.00 -99.00 8.930e+11 -9.900e+01 -9.900e+01 10643 -99 -99 9.010e+00 6.310e+01 0.55 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.0123 1.095e+10 -0.4825 1.2226
90601 GOODS-S 53.1857140 -27.772216 -99.0000 0.42 -99.00 -99.00 0.39 -99.00 -99.00 0.41 0.42 -99.00 -99.00 -99.00 -99.00 12.67 -99.00 -99.00 7.140e+09 -9.900e+01 -9.900e+01 229 -99 -99 9.950e+00 -9.900e+01 -91.16 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.6118 4.367e+09 -0.4452 1.8638
83499 GOODS-N 189.1973120 62.274485 0.8710 0.87 -99.00 -99.00 0.88 -99.00 -99.00 0.87 0.88 -99.00 -99.00 -99.00 -99.00 4.53 -99.00 -99.00 1.470e+11 -9.900e+01 -9.900e+01 18393 -99 -99 9.060e+00 2.510e-02 1.29 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.7261 1.067e+11 -0.3791 1.8751
27652 GOODS-S 53.1740020 -27.891508 -99.0000 0.85 -99.00 -99.00 0.82 -99.00 -99.00 0.80 0.90 -99.00 -99.00 -99.00 -99.00 3.89 -99.00 -99.00 9.620e+09 -9.900e+01 -9.900e+01 19484 -99 -99 8.260e+00 1.580e+00 1.29 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.0901 8.675e+08 -0.5567 1.2920
112152 GOODS-N 189.2968840 62.313922 -99.0000 0.45 -99.00 -99.00 0.46 -99.00 -99.00 0.45 0.46 -99.00 -99.00 -99.00 -99.00 29.32 -99.00 -99.00 1.320e+11 -9.900e+01 -9.900e+01 10660 -99 -99 9.480e+00 6.310e+01 0.55 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.0334 4.407e+09 -0.5126 1.4678
46284 GOODS-S 53.1637860 -27.854760 0.6870 0.83 -99.00 -99.00 0.83 -99.00 -99.00 0.82 0.85 -99.00 -99.00 -99.00 -99.00 15.17 -99.00 -99.00 1.060e+10 -9.900e+01 -9.900e+01 21694 -99 -99 8.060e+00 6.310e-01 1.47 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.1415 1.501e+09 -0.5947 1.3520
125098 GOODS-N 189.3846420 62.342237 -99.0000 1.24 -99.00 -99.00 1.26 -99.00 -99.00 1.24 1.27 -99.00 -99.00 -99.00 -99.00 7.88 -99.00 -99.00 1.180e+11 -9.900e+01 -9.900e+01 31305 -99 -99 8.910e+00 2.510e-01 2.21 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.7294 8.592e+10 -0.3161 1.5841
124386 GOODS-N 189.3902770 62.344510 0.8410 0.83 -99.00 -99.00 0.81 -99.00 -99.00 0.75 0.85 -99.00 -99.00 -99.00 -99.00 17.94 -99.00 -99.00 1.810e+11 -9.900e+01 -9.900e+01 36750 -99 -99 9.810e+00 1.580e+00 2.58 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.6500 1.179e+11 -0.4334 2.3862
86522 GOODS-N 189.3232830 62.268957 -99.0000 0.69 -99.00 -99.00 0.74 -99.00 -99.00 0.68 0.75 -99.00 -99.00 -99.00 -99.00 4.45 -99.00 -99.00 5.440e+09 -9.900e+01 -9.900e+01 4494 -99 -99 9.060e+00 6.310e-01 0.18 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.6293 3.422e+09 -0.4536 1.2873
45958 GOODS-N 189.1672390 62.196253 -99.0000 1.03 -99.00 -99.00 1.04 -99.00 -99.00 1.01 1.04 -99.00 -99.00 -99.00 -99.00 7.79 -99.00 -99.00 6.010e+10 -9.900e+01 -9.900e+01 16808 -99 -99 9.410e+00 6.310e-01 1.10 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.6897 4.143e+10 -0.4575 1.9282
68612 GOODS-N 189.1965580 62.237297 -99.0000 0.57 -99.00 -99.00 0.57 -99.00 -99.00 0.46 0.64 -99.00 -99.00 -99.00 -99.00 8.69 -99.00 -99.00 2.390e+10 -9.900e+01 -9.900e+01 37002 -99 -99 9.900e+00 3.980e+00 2.58 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.5742 1.370e+10 -0.4788 2.2338
109794 GOODS-S 53.1431090 -27.730585 0.6670 0.70 -99.00 -99.00 0.69 -99.00 -99.00 0.70 0.70 -99.00 -99.00 -99.00 -99.00 12.07 -99.00 -99.00 1.230e+11 -9.900e+01 -9.900e+01 28979 -99 -99 9.300e+00 3.980e-01 2.03 -9.900e+01 -9.900e+01 -99.00 -9.900e+01 -9.900e+01 -99.00 0.7065 8.658e+10 -0.4296 2.0233
