# Catalog for all galaxies that matched between 3DHST and PEARS. 
# pears_id field redshift ra dec dn4000 dn4000_err d4000 d4000_err
33074 GOODS-S 1.020 53.142700 -27.881440 0.5627 0.0000 0.7918 0.8641
33094 GOODS-S 1.270 53.194610 -27.880620 1.2470 1.0587 0.6499 0.4776
33247 GOODS-S 0.790 53.159680 -27.881160 1.5418 0.0000 1.4449 0.0000
33294 GOODS-S 1.030 53.158670 -27.880190 1.0269 0.0000 1.1424 0.1301
33407 GOODS-S 1.250 53.195030 -27.880100 0.9979 0.6625 0.8351 0.5071
33422 GOODS-S 0.960 53.148200 -27.880820 0.4787 0.8016 1.2080 1.1397
33498 GOODS-S 0.760 53.161760 -27.879840 1.5853 0.7563 1.4131 0.5549
33725 GOODS-S 1.250 53.196790 -27.880150 1.5224 1.6475 1.1596 1.0205
33734 GOODS-S 0.790 53.161080 -27.878510 1.3866 0.0000 1.4942 0.0000
33944 GOODS-N 0.700 189.161100 62.176090 1.2719 0.0000 1.5032 0.0000
33949 GOODS-S 0.880 53.170330 -27.879080 1.0423 0.0000 1.1062 0.0000
34050 GOODS-S 0.930 53.162410 -27.878940 1.6290 0.7629 1.1691 0.4228
34128 GOODS-S 0.730 53.158960 -27.877880 1.4129 0.2766 1.3134 0.1733
34243 GOODS-S 0.710 53.193240 -27.878510 1.0852 0.0000 1.3337 0.0000
34245 GOODS-S 1.090 53.142810 -27.878910 0.9904 0.0000 0.9529 0.3269
34375 GOODS-S 1.250 53.196640 -27.878570 0.9294 0.7254 0.8862 0.5861
34427 GOODS-N 0.890 189.185000 62.177030 1.0638 0.1623 1.0795 0.1287
34457 GOODS-S 0.790 53.146600 -27.876700 1.1336 0.1974 1.3038 0.1654
34620 GOODS-S 0.860 53.145330 -27.877490 -0.2934 0.0000 0.5724 0.0000
34773 GOODS-N 1.280 189.188300 62.177120 1.6959 2.0717 0.6585 0.8161
34789 GOODS-S 1.100 53.179190 -27.874560 1.2002 1.3163 1.5176 1.4333
34803 GOODS-S 0.650 53.183200 -27.876360 1.0639 0.1975 1.2880 0.1647
34821 GOODS-S 1.040 53.165210 -27.873950 1.0514 0.1576 1.0934 0.1189
34880 GOODS-S 0.820 53.192120 -27.877410 0.8104 0.0000 0.9107 0.3981
35068 GOODS-S 1.130 53.140560 -27.877190 1.5528 1.0427 1.5777 0.8959
35090 GOODS-N 0.680 189.200400 62.177260 1.1854 1.0116 1.2482 0.8084
35116 GOODS-S 1.090 53.166850 -27.876680 0.6962 1.6100 0.8347 1.2707
35134 GOODS-S 1.070 53.156450 -27.876430 1.0248 0.4262 1.2012 0.3244
35156 GOODS-N 1.200 189.199500 62.179390 1.4431 0.2558 1.3967 0.1761
35255 GOODS-S 0.680 53.181770 -27.875730 0.9502 0.2276 1.2462 0.1958
35309 GOODS-N 1.190 189.197800 62.178840 1.2616 0.4797 1.3368 0.3883
35475 GOODS-S 1.230 53.194940 -27.874950 1.4813 0.3618 1.3780 0.2543
35579 GOODS-S 0.970 53.186400 -27.874970 1.1495 0.3998 1.2728 0.2486
35589 GOODS-S 0.810 53.165220 -27.874530 1.1735 0.0000 1.3770 0.0000
35657 GOODS-S 1.120 53.174860 -27.875660 1.0295 0.1336 0.8878 0.1847
35692 GOODS-S 0.940 53.174150 -27.875740 1.1185 0.0000 0.8599 0.0000
35700 GOODS-N 0.750 189.184600 62.178100 3.8523 0.0000 19.3966 0.0000
35762 GOODS-S 0.710 53.148630 -27.873980 0.0658 29733.1802 -2.0930 10975.9251
35783 GOODS-S 0.630 53.187130 -27.875200 1.1178 0.0000 3.1385 0.0000
35788 GOODS-S 1.270 53.165660 -27.874510 -15.0964 400.7131 4.5403 33.7804
35878 GOODS-S 0.640 53.175080 -27.873890 1.0971 0.1221 1.1766 0.1002
35929 GOODS-S 0.770 53.176830 -27.875070 1.3600 0.0000 0.9879 0.0000
35983 GOODS-S 0.560 53.166130 -27.875220 1.8775 4.4512 3.0975 7.0909
35989 GOODS-S 0.740 53.143860 -27.875150 1.2934 0.0000 1.0103 0.0000
35993 GOODS-S 0.990 53.185310 -27.875070 0.8811 0.0000 0.7933 0.2063
36001 GOODS-S 0.930 53.167020 -27.874900 1.0679 0.0000 0.8765 0.0000
36026 GOODS-S 1.090 53.190180 -27.875020 0.7466 0.6662 1.1367 0.5757
36084 GOODS-S 1.070 53.189780 -27.874490 0.9755 0.5845 1.0869 0.4416
36105 GOODS-N 0.910 189.191500 62.183700 1.4203 0.2470 1.6396 0.2093
36110 GOODS-S 0.620 53.172430 -27.873750 1.1680 0.3362 1.3625 0.2751
36121 GOODS-S 0.780 53.173440 -27.865980 1.7488 0.2143 1.7354 0.1467
36143 GOODS-S 0.780 53.177800 -27.873660 1.3023 0.2836 1.1530 0.1729
36172 GOODS-S 1.110 53.175920 -27.874640 0.5487 0.0000 0.6869 0.5180
36213 GOODS-S 0.910 53.165160 -27.874670 1.3616 0.0000 1.5996 0.0000
36277 GOODS-S 0.780 53.151640 -27.874050 -21.1010 2669.6030 -3.8883 43.2840
36291 GOODS-S 1.150 53.142890 -27.873810 nan nan nan nan
36342 GOODS-N 1.240 189.215300 62.179620 1.1157 0.5849 1.0782 0.4719
36385 GOODS-S 0.670 53.186860 -27.874280 0.5386 2.6285 0.6177 1.6081
36569 GOODS-N 0.940 189.202400 62.180370 1.0422 0.3143 0.9695 0.1954
36639 GOODS-N 0.880 189.172700 62.181010 1.1700 0.2337 1.2687 0.1784
36739 GOODS-N 1.190 189.213900 62.180400 1.2182 1.1537 1.6356 1.1022
36830 GOODS-N 0.850 189.172400 62.179890 0.7040 0.0000 0.9969 0.0000
