#   PearsID  Field  RA  DEC  zspec  zp_minchi2  zspz_minchi2  zg_minchi2  zp  zspz  zg  zp_zerr_low  zp_zerr_up  zspz_zerr_low  zspz_zerr_up  zg_zerr_low  zg_zerr_up  zp_min_chi2  zspz_min_chi2  zg_min_chi2  zp_bestalpha  zspz_bestalpha  zg_bestalpha  zp_model_idx  zspz_model_idx  zg_model_idx  zp_age  zp_tau  zp_av  zspz_age  zspz_tau  zspz_av  zg_age  zg_tau  zg_av  zp_template_ms  zp_ms  zp_sfr  zp_uv  zp_vj  zspz_template_ms  zspz_ms  zspz_sfr  zspz_uv  zspz_vj  zg_template_ms  zg_ms  zg_sfr  zg_uv  zg_vj  figs_id  figs_field  figs_ra  figs_dec  ur_col
108453  GOODS-N  189.36237  62.30682  -99.  3.25  -99.  -99.  3.55  -99.  -99.  3.08  3.47  -99.  -99.  -99.  -99.  1.15  -99.  -99.  2.4e+09  -99.  -99.  772  -99  -99  7.63  -99.  -91.16  -99.  -99.  -99.  -99.  -99.  -99.  0.6674  1.603e+09  0.  -0.5344  1.8655  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  3995  GN2  189.3623970  62.306817  0.043
119238  GOODS-N  189.3780362  62.325278  -99.  2.27  -99.  -99.  2.19  -99.  -99.  2.04  2.37  -99.  -99.  -99.  -99.  3.98  -99.  -99.  6.04e+10  -99.  -99.  12381  -99  -99  9.44  3.98  0.74  -99.  -99.  -99.  -99.  -99.  -99.  0.2809  1.698e+10  0.  0.2727  1.5323  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  488  GN2  189.3780570  62.325282  1.163
84463  GOODS-S  53.1490102  -27.781941  -99.  1.66  -99.  -99.  1.66  -99.  -99.  1.5  1.83  -99.  -99.  -99.  -99.  0.83  -99.  -99.  4.38e+10  -99.  -99.  14845  -99  -99  9.57  3.98  0.92  -99.  -99.  -99.  -99.  -99.  -99.  0.3289  1.441e+10  0.  0.4051  1.6699  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  1781  GS1  53.1490220  -27.781952  1.336
105188  GOODS-N  189.3425752  62.301513  -99.  2.5  -99.  -99.  0.86  -99.  -99.  2.38  2.62  -99.  -99.  -99.  -99.  4.99  -99.  -99.  1.9e+09  -99.  -99.  168  -99  -99  8.01  -99.  -91.16  -99.  -99.  -99.  -99.  -99.  -99.  0.7141  1.355e+09  0.  -0.1704  0.7247  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  974  GN2  189.3425410  62.301523  0.521
82984  GOODS-S  53.1505215  -27.783867  -99.  0.1  -99.  -99.  0.12  -99.  -99.  0.08  0.14  -99.  -99.  -99.  -99.  2.12  -99.  -99.  17400000.  -99.  -99.  2038  -99  -99  9.23  0.631  0.  -99.  -99.  -99.  -99.  -99.  -99.  0.5376  9369000.  0.  0.3325  1.4565  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  1941  GS1  53.1505150  -27.783871  1.203
83324  GOODS-S  53.1797906  -27.784239  -99.  0.56  -99.  -99.  0.79  -99.  -99.  0.35  0.8  -99.  -99.  -99.  -99.  0.14  -99.  -99.  1.5e+08  -99.  -99.  4370  -99  -99  9.01  0.398  0.18  -99.  -99.  -99.  -99.  -99.  -99.  0.5658  84870000.  0.  0.2266  1.2771  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  1983  GS1  53.1797870  -27.784272  1.055
119774  GOODS-N  189.3955124  62.326688  -99.  1.31  -99.  -99.  1.28  -99.  -99.  1.26  1.35  -99.  -99.  -99.  -99.  0.21  -99.  -99.  4.33e+10  -99.  -99.  24190  -99  -99  9.48  0.631  1.66  -99.  -99.  -99.  -99.  -99.  -99.  0.5171  2.239e+10  0.  1.092  2.0937  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  465  GN2  189.3955430  62.326692  2.171
84846  GOODS-S  53.1468909  -27.781773  -99.  1.43  -99.  -99.  1.51  -99.  -99.  1.38  1.61  -99.  -99.  -99.  -99.  2.34  -99.  -99.  2.65e+09  -99.  -99.  4241  -99  -99  8.71  0.251  0.18  -99.  -99.  -99.  -99.  -99.  -99.  0.5704  1.512e+09  0.  -0.0495  1.0977  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  1780  GS1  53.1468920  -27.781777  0.709
96917  GOODS-N  189.3756444  62.287347  -99.  2.33  -99.  -99.  2.25  -99.  -99.  2.29  2.35  -99.  -99.  -99.  -99.  13.6  -99.  -99.  5.29e+12  -99.  -99.  37691  -99  -99  8.41  63.1  2.58  -99.  -99.  -99.  -99.  -99.  -99.  0.0029  1.529e+10  0.  0.0223  1.5231  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  1308  GN2  189.3756590  62.287341  0.877
104645  GOODS-N  189.391115  62.301103  -99.  0.47  -99.  -99.  0.43  -99.  -99.  0.43  0.49  -99.  -99.  -99.  -99.  1.53  -99.  -99.  9.52e+08  -99.  -99.  16793  -99  -99  9.01  0.631  1.1  -99.  -99.  -99.  -99.  -99.  -99.  0.4974  4.736e+08  0.  0.2744  1.3951  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  -99.  981  GN2  189.3911260  62.301105  1.136
