# Catalog for all galaxies that matched between 3DHST and FIGS within 1.2<z<1.8 for gn1. 
# figs_id redshift ra dec dn4000 dn4000_err d4000 d4000_err
6798 1.599 189.139511 62.299519 -48.9708 15865.4601 2.0306 25.0288
6808 1.487 189.200729 62.299465 -164.7408 130923.0404 2.0975 36.6050
6812 1.777 189.210266 62.299438 1.3299 8.1581 1.3057 10.5770
6843 1.783 189.139160 62.298939 -1.4191 49.0360 0.8751 181.9979
6853 1.429 189.155151 62.298866 0.4191 31.9440 2.2789 739.1703
6856 1.349 189.211304 62.298843 -1.6623 17.9887 -1.8370 15.3847
6903 1.317 189.165192 62.298241 -0.4046 7.4054 -0.2515 23.9016
6915 1.312 189.155121 62.298077 -4.5415 223.0086 -1.7427 24.2436
6922 1.439 189.211090 62.298004 -1.3608 15.1739 -2.9309 26.8128
6940 1.257 189.146072 62.297855 0.0019 2.8123 0.2849 2.7674
6964 1.525 189.178970 62.297539 -0.3723 7.7945 -0.7627 8.7696
7001 1.665 189.149307 62.297005 0.1212 4.2289 0.1268 2.6226
7074 1.428 189.152252 62.296165 1.2586 16.8012 0.4569 13.6394
7088 1.573 189.127975 62.295933 0.6344 2.1248 0.5177 1.9331
7102 1.339 189.166153 62.295853 -1.1842 54.4044 -0.0474 7.3709
7115 1.641 189.146301 62.295635 2.5847 42.5922 1.2303 8.7145
7125 1.586 189.129410 62.295509 -1.8281 0.0000 -1.1750 1.6609
7162 1.509 189.120087 62.295025 -0.4186 0.0000 0.1855 1.6898
7165 1.780 189.186569 62.295036 -0.8149 3.6551 -0.3944 2.7875
7166 1.554 189.142746 62.295025 4.0276 17.0407 2.8271 13.2326
7283 1.363 189.200546 62.293686 -67.3387 35784.4925 1.1048 18.4357
7299 1.702 189.210953 62.293499 2.4401 39.2351 2.5175 16.1302
7302 1.278 189.199127 62.293461 2.3267 76.0325 10.8050 1026.2687
7317 1.672 189.170853 62.293324 2.6980 24.8626 3.2718 47.5265
7327 1.622 189.149963 62.293182 0.4776 7.1121 1.2265 8.2460
7351 1.677 189.143631 62.292931 2.8699 24.8326 1.7231 8.4360
7352 1.677 189.143616 62.292828 1.2527 13.4511 1.4994 9.8300
7365 1.754 189.176926 62.292797 -4.5702 179.1755 0.9559 17.1733
7372 1.592 189.189133 62.292728 -21.1057 3436.8580 -0.0540 6.7183
7385 1.493 189.170288 62.292839 4.2099 421.1415 0.6159 14.9642
7437 1.763 189.129852 62.292004 -7.7898 479.8992 2.2866 45.0206
7438 1.686 189.141129 62.292004 1.2548 16.3188 0.4506 11.1032
7455 1.454 189.134995 62.291874 -0.7000 11.6001 0.6483 19.6807
7485 1.532 189.200394 62.291649 -0.8320 55.3341 -0.1595 11.4764
7486 1.331 189.217865 62.291649 -0.2515 24.1591 -2.0668 18.5263
7496 1.689 189.177124 62.291508 0.2932 4.3485 0.6310 4.3609
7505 1.373 189.215378 62.291420 -7.7389 727.0015 -1.7541 63.4517
7528 1.294 189.141449 62.291088 -3.3290 62.6251 2.4816 31.6024
7554 1.350 189.131836 62.290901 -0.0185 2.2054 0.1457 2.2036
7572 1.683 189.209259 62.290672 -0.8029 34.6212 -2.2146 32.8338
7583 1.757 189.125626 62.290447 -16.9186 70.1922 -0.0798 1.7311
7597 1.549 189.167358 62.290314 1.1814 15.5406 0.8007 9.6425
7662 1.764 189.138519 62.289577 -0.1125 9.8184 1.5313 28.5930
7663 1.687 189.155212 62.289608 1.2462 12.2479 0.5833 7.5674
7664 1.294 189.221848 62.289600 -0.0000 0.0000 -0.0000 0.0000
7677 1.525 189.200150 62.289440 0.6233 8.0810 1.2921 15.2779
7684 1.671 189.132538 62.289337 -0.1715 5.5086 0.7205 5.9942
7698 1.454 189.147217 62.289146 -16.0730 1152.5793 7.9763 328.9626
7830 1.270 189.183365 62.287720 -0.8527 31.4169 -37.6379 32986.4592
7850 1.649 189.140213 62.287319 1.6192 22.6235 1.4327 26.2903
7865 1.558 189.137482 62.287109 4.3137 74.6191 3.4776 42.5068
7931 1.714 189.123032 62.286354 1.2739 0.0000 1.0193 1.1413
8003 1.690 189.148499 62.285759 0.9488 5.2046 1.9781 8.0627
8062 1.569 189.163300 62.284927 -4.5248 108.9560 -3.5836 44.5904
8067 1.285 189.157806 62.284920 0.2844 3.4370 0.6192 2.8894
8069 1.363 189.208878 62.284916 0.7390 1.5797 0.6458 1.0987
8099 1.729 189.118729 62.284557 nan nan 0.0000 0.0000
8107 1.371 189.145859 62.284443 0.6066 8.4531 0.5210 5.1790
8115 1.705 189.154846 62.284309 1.3151 9.2319 -0.1942 5.1780
8122 1.290 189.118134 62.284145 0.5051 0.0000 0.5370 0.0000
8123 1.760 189.219757 62.284210 0.6070 0.0000 0.0097 0.0000
8178 1.255 189.167725 62.283581 0.6071 5.8144 0.1667 6.6192
8193 1.232 189.158051 62.283413 0.9484 11.8027 1.4257 16.8279
8213 1.295 189.224625 62.283199 0.5704 0.0000 0.7875 0.0000
8240 1.313 189.196945 62.282871 -0.6910 7.3999 -4.3803 824.8108
8249 1.429 189.144028 62.282722 0.2739 5.4220 0.1463 2.5656
8265 1.734 189.156631 62.282566 1.0496 5.9137 1.7766 8.9377
8266 1.406 189.170059 62.282494 0.9156 12.7970 1.0547 7.7229
8273 1.227 189.222641 62.282444 2.2844 0.0000 1.6416 0.0000
8284 1.244 189.179779 62.282379 0.5575 7.0576 0.7481 5.6388
8297 1.212 189.120148 62.282230 -1.8500 0.0000 1.8560 0.0000
8313 1.353 189.119217 62.282082 nan nan -0.0000 0.0000
8340 1.733 189.215103 62.281803 0.8331 0.0000 0.5217 0.0000
8401 1.606 189.124893 62.281109 -0.5328 0.0000 0.5162 0.0000
8409 1.666 189.138504 62.280956 -0.8508 14.9743 4.1887 88.7996
8444 1.742 189.201035 62.280609 0.4807 3.6531 0.3391 3.3008
8446 1.323 189.205368 62.280575 1.6257 12.7472 2.0190 18.3516
8473 1.288 189.192139 62.280285 0.6369 6.5674 0.5065 4.9600
8478 1.548 189.198700 62.280231 0.3598 6.8212 0.9586 7.0200
8503 1.722 189.211868 62.279922 1.3557 1.1508 0.8720 0.6335
8508 1.491 189.162277 62.279778 1.6991 23.9398 1.8687 14.6783
8554 1.623 189.125626 62.279305 -25.7631 0.0000 -3.1250 0.0000
8559 1.758 189.184158 62.279263 -4.8454 143.2374 -0.5321 74.7942
8568 1.562 189.122757 62.279110 -0.0036 0.0000 -0.0022 0.0000
8575 1.717 189.179306 62.279076 0.5498 28.2972 1.2486 8.9096
8686 1.354 189.151581 62.277855 1.9245 54.0307 1.1032 10.8831
8695 1.207 189.205521 62.277798 2.4387 26.5853 4.5603 50.1763
8704 1.717 189.163269 62.277683 -0.6104 13.6143 -9.3834 2946.0919
8712 1.288 189.149216 62.277592 1.2570 13.4409 0.9760 8.2150
8725 1.685 189.207565 62.277466 -0.0297 0.0000 -0.4722 0.0000
8734 1.251 189.175476 62.277058 3.0057 72.2600 0.1127 4.0128
8947 1.376 189.202591 62.275513 0.7120 6.0479 1.1300 5.9494
8955 1.417 189.161423 62.275688 0.0254 28.1861 4.2132 140.6689
8967 1.210 189.160858 62.275276 -0.8608 25.3094 0.3182 17.5907
8988 1.649 189.162567 62.275040 5.7351 125.8248 2.0057 22.2475
8996 1.628 189.154129 62.274952 -1.3031 30.4042 -0.4539 7.2367
8997 1.525 189.160065 62.274948 -0.0461 9.7682 1.8659 117.9822
9022 1.381 189.158997 62.274693 1.7822 39.4694 2.0502 18.4298
9086 1.648 189.213974 62.274139 nan nan nan nan
9104 1.647 189.160202 62.274017 0.7928 9.4375 1.2642 6.5323
9107 1.541 189.138519 62.275608 nan nan inf nan
9191 1.714 189.206390 62.273167 nan nan nan nan
9194 1.289 189.169098 62.273121 1.5329 40.2313 0.8466 21.6527
9201 1.375 189.199066 62.273022 1.3120 1.3436 1.1870 0.8619
9414 1.616 189.179031 62.271454 0.4562 1.5061 0.7025 1.5155
9420 1.563 189.147339 62.270775 5.5780 97.7009 -14.9282 1054.6490
9502 1.560 189.164886 62.269733 -0.0514 14.1755 -5.7050 435.9931
9508 1.375 189.157150 62.269646 2.9379 10.0660 1.6526 3.2277
9556 1.649 189.154404 62.269035 2.1628 0.0000 0.6639 0.0000
9606 1.779 189.203766 62.268417 nan nan nan nan
9616 1.431 189.179642 62.268307 -0.3546 0.7542 1.0677 4.2833
9661 1.334 189.167038 62.267803 0.9458 0.0000 0.7174 0.4607
9691 1.415 189.156296 62.267506 0.5090 0.0000 0.5714 0.0000
9698 1.211 189.156815 62.267475 0.1307 0.0000 0.3489 0.0000
9728 1.636 189.179916 62.267227 0.0000 0.0000 0.0000 0.0000
9748 1.530 189.181976 62.267052 -0.0140 0.0000 0.0000 0.0000
9882 1.540 189.177826 62.265579 nan nan nan nan
9896 1.234 189.179794 62.265442 0.0000 0.0000 0.0000 0.0000
11410 1.425 189.131653 62.296204 1.0956 9.0775 0.7431 4.4755
