# PearsID field ra dec U_flux f435w_flux f606w_flux f775w_flux f850lp_flux f125w_flux f140w_flux f160w_flux irac1_flux irac2_flux irac3_flux irac4_flux U_flux_err f435w_flux_err f606w_flux_err f775w_flux_err f850lp_flux_err f125w_flux_err f140w_flux_err f160w_flux_err irac1_flux_err irac2_flux_err irac3_flux_err irac4_flux_err
78000 GOODS-N 189.119226 62.252380 3.785e-19 3.713e-19 2.027e-19 1.376e-19 1.190e-19 7.749e-20 7.979e-20 5.871e-20 1.244e-20 5.446e-21 -9.900e+01 -9.900e+01 4.111e-20 1.490e-20 6.050e-21 5.570e-21 5.060e-21 1.937e-21 4.455e-21 3.102e-21 3.317e-21 1.297e-21 6.698e-21 3.197e-21
53083 GOODS-N 189.119384 62.208399 3.081e-19 3.442e-19 3.634e-19 2.886e-19 2.256e-19 1.324e-19 1.121e-19 9.386e-20 9.349e-21 3.834e-21 -9.900e+01 3.844e-22 4.403e-20 1.297e-20 6.143e-21 5.633e-21 5.013e-21 2.391e-21 3.615e-21 3.330e-21 2.432e-21 1.191e-21 3.699e-21 1.422e-20
52950 GOODS-N 189.119463 62.208112 3.981e-20 2.438e-20 7.560e-20 9.584e-20 7.234e-20 4.252e-20 2.348e-20 2.414e-20 1.217e-20 6.612e-21 -9.900e+01 -9.900e+01 4.698e-20 1.476e-20 7.013e-21 6.381e-21 5.651e-21 2.693e-21 4.358e-21 4.156e-21 2.719e-21 1.326e-21 4.170e-21 1.687e-20
73509 GOODS-N 189.119508 62.244164 1.809e-19 1.197e-19 1.282e-19 1.155e-19 1.237e-19 6.929e-20 5.892e-20 4.486e-20 9.279e-21 3.481e-21 5.083e-21 4.651e-21 5.119e-20 2.399e-20 1.008e-20 9.759e-21 8.898e-21 3.063e-21 7.240e-21 4.659e-21 3.158e-21 1.364e-21 8.168e-21 4.212e-21
89178 GOODS-N 189.119547 62.272697 3.392e-20 3.717e-19 3.190e-19 1.795e-19 1.675e-19 9.491e-20 7.364e-20 6.758e-20 8.716e-21 7.863e-21 3.619e-21 -9.900e+01 1.147e-19 5.078e-20 2.122e-20 1.956e-20 1.784e-20 6.303e-21 1.323e-20 7.713e-21 5.608e-21 2.750e-21 1.168e-20 5.426e-21
55253 GOODS-N 189.119802 62.212609 2.372e-20 2.115e-21 1.398e-19 1.767e-19 1.358e-19 7.527e-20 5.928e-20 5.133e-20 1.559e-20 8.051e-21 1.903e-21 5.347e-22 4.835e-20 1.547e-20 6.173e-21 5.683e-21 5.162e-21 2.442e-21 4.202e-21 3.679e-21 2.007e-21 1.034e-21 3.090e-21 1.186e-20
53606 GOODS-N 189.119958 62.210945 1.910e-18 1.431e-18 7.125e-19 5.237e-19 4.539e-19 2.237e-19 1.812e-19 1.281e-19 3.130e-20 1.104e-20 8.306e-21 7.363e-21 4.602e-20 1.489e-20 6.156e-21 5.456e-21 4.956e-21 2.307e-21 4.099e-21 3.532e-21 2.417e-21 1.249e-21 3.715e-21 1.539e-20
76410 GOODS-N 189.120044 62.249781 3.919e-20 5.660e-20 7.896e-20 1.256e-19 1.082e-19 9.325e-20 8.320e-20 7.156e-20 1.054e-20 4.818e-21 -9.900e+01 -9.900e+01 4.696e-20 1.812e-20 7.356e-21 6.772e-21 6.151e-21 2.355e-21 5.634e-21 4.021e-21 2.934e-21 1.176e-21 5.979e-21 2.856e-21
85127 GOODS-N 189.120187 62.264991 -9.900e+01 6.418e-20 3.537e-20 6.694e-20 7.699e-20 6.345e-20 4.724e-20 4.671e-20 8.904e-21 4.136e-21 -9.900e+01 -9.900e+01 5.705e-20 3.264e-20 1.003e-20 8.786e-21 8.145e-21 3.005e-21 6.411e-21 4.387e-21 1.815e-21 1.158e-21 5.815e-21 3.244e-21
45861 GOODS-N 189.120500 62.195606 3.146e-19 1.802e-19 1.094e-19 7.830e-20 6.278e-20 4.443e-20 5.661e-20 3.985e-20 1.287e-20 9.451e-21 -9.900e+01 3.438e-21 8.759e-20 2.409e-20 1.139e-20 1.031e-20 9.193e-21 7.444e-21 6.784e-21 9.155e-21 3.018e-21 2.229e-21 5.451e-21 3.011e-21
48193 GOODS-N 189.120630 62.200069 -9.900e+01 -9.900e+01 9.923e-20 1.200e-19 1.002e-19 6.111e-20 4.922e-20 3.945e-20 7.877e-21 3.736e-21 1.285e-21 -9.900e+01 4.251e-20 2.044e-20 9.727e-21 8.699e-21 7.809e-21 4.486e-21 5.511e-21 4.316e-21 1.364e-21 9.064e-22 2.250e-21 2.052e-19
56885 GOODS-N 189.120645 62.215957 1.667e-19 1.466e-19 1.359e-19 1.180e-19 9.818e-20 5.876e-20 5.173e-20 3.859e-20 4.313e-21 2.710e-21 -9.900e+01 -9.900e+01 4.824e-20 1.716e-20 7.849e-21 7.114e-21 6.384e-21 2.630e-21 4.634e-21 4.318e-21 1.855e-21 1.095e-21 5.494e-21 1.661e-20
78497 GOODS-N 189.120835 62.253323 1.072e-19 1.052e-19 8.670e-20 8.743e-20 7.775e-20 5.173e-20 3.315e-20 3.399e-20 7.098e-21 2.625e-21 -9.900e+01 -9.900e+01 3.995e-20 1.398e-20 6.048e-21 5.615e-21 5.160e-21 1.834e-21 4.081e-21 2.831e-21 3.133e-21 1.315e-21 6.625e-21 3.266e-21
